# Ospedali Trasparenti — contratti pubblici di AZIENDA SOCIO SANITARIA TERRITORIALE DEL GARDA (ANAC)
# 1782 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9863939BF5;2023-06-17;AFFIDAMENTO GESTIONE IN SERVICE LABORATORI ELETTROFISIOLOGIA AZIENDALI PER UN PERIODO DI 72 MESI CON OPZIONE DI PROROGA PER ULTERIORI 12 MESI MODIFICHE ART. 106 E CLAUSOLA ADESIONE SUCCESSIVA ENTI CONSORZIO AIPEL;29449000;PROCEDURA APERTA;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;MEDICAL CONCEPT LAB S.R.L.
9724306F28;2023-03-16;GARA AGGR. CR. CAPOFILA SERVIZI FRONT BACK OFFICE LOTTO 2 ASST GARDA. DURATA 72 MESI;23295054;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;G.S.M. (GESTIONE SERVIZI MULTISERVICE) SOCIETA' COOPERATIVA SOCI ALE
9894966043;2023-08-17;CONTRATTO PONTE DELLA DURATA DI 30 MESI PER MULTI SERVIZIO TECNOLOGICO INTEGRATO CON FORNITURA DI ENERGIA PER GLI EDIFICI DELL'ASST DEL GARDA;21767599;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI;TECKAL S.P.A.
973732786F;2023-03-30;PNRR PNC - 'MISSIONE 6C2: OSPEDALE SICURO E SOSTENIBILE - OSPEDALE DI LENO: ALA 30 POSTI LETTO 'E' - ADEGUAMENTO NORMATIVO SICUREZZA SISMICA E ANTINCENDIO PALAZZINA SPDC 'D';15930137;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;CG EDILCOOP - SOCIETA' COOPERATIVA
9752852413;2023-03-24;LAVORI PNRR E PNC RELATIVI ALL'INTERVENTO PER LA REALIZZAZIONE DELL'OSPEDALE SICURO PRESSO H. GAVARDO - ALA VECCHIA;12410952;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;AZIENDA BRESCIANA PETROLI NOCIVELLI S.P.A.     (A.B.P. NOCIVELLI S.P.A.)
9591044BE1;2023-02-08;APPALTO INTEGRATO PER L'AFFIDAMENTO DEI SERVIZI DI PROGETTAZIONE ESECUTIVA C.S.P. E REALIZZAZIONE LAVORI P.O.T. LONATO - RIEDIFICAZIONE DGR XI/1725 10.6.2019 E DGR XI/2468 18.11.2019;10755421;PROCEDURA APERTA;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;AR.CO. LAVORI SOCIETA' COOPERATIVA CONSORTILE
97391118A3;2023-03-30;NUOVA STRUTTURA SOCIO-SANITARIA A SALO' - MISSIONE 6C2: 'VERSO UN OSPEDALE SICURO E SOSTENIBILE (PNC);10155302;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI GENERALI DI COSTRUZIONE DI EDIFICI;CG EDILCOOP - SOCIETA' COOPERATIVA
A02A760425;2023-10-05;AFFIDAMENTO CONTRATTO GESTIONE IN SERVICE LABORATORI SERVICE ELETTROFISIOLOGIA AZ.LI;9891023;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER IL SOSTEGNO DELLE FUNZIONI CARDIACHE;MEDICAL CONCEPT LAB S.R.L.
975287570D;2023-03-24;LAVORI PNRR E PNC RELATIVI ALL'INTERVENTO PER LA REALIZZAZIONE DELL'OSPEDALE SICURO PRESSO H. GAVARDO - ALA NUOVA;7887368;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;PAVONI S.P.A.
B24F6108EF;2024-07-02;SERVIZIO SORVEGLIANZA E PRONTO INTERVENTO ANTINCENDIO;6806000;AFFIDAMENTO DIRETTO;SERVIZI DI PREVENZIONE DEGLI INCENDI;EVOLVE CONSORZIO STABILE
