# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE 4 TERAMO (ANAC)
# 4610 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B7E8EB2170;2025-08-07;SERVIZIO DI SOMMINISTRAZIONE DI LAVORO A TEMPO DETERMINATO;39328000;PROCEDURA APERTA;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;
A00A905B85;2023-09-19;SERVIZIO CUP IN MODALITÀ FRONT OFFICE E TELEFONICA OCCORRENTE ALLE AZIENDE SANITARIE LOCALI DELLA REGIONE ABRUZZO- ASL TERAMO;28629354;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;
A059CCF1F7;2024-06-03;ADESIONE ALLA PROCEDURA APERTA PER LA CONCLUSIONE DI ACCORDI QUADRO CON PIÙ OPERATORI ECONOMICI, AI SENSI DELL'ART. 54, COMMA 4, LETT. A), DEL D.LGS 50/2016 E SS.MM.II. PER L'AFFIDAMENTO DEL SERVIZIO DI CURE DOMICILIARI PER I PAZIENTI RESIDENTI NEL TERRITORIO DELLA REGIONE ABRUZZO;20066284;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI CURE MEDICHE A DOMICILIO;ARCA SANITA' BY NEW CARE S.R.L.
B4ABEE8170;2024-12-09;AFFIDAMENTO DI SERVIZI INERENTI ALLA GESTIONE DI COMUNITÀ ALLOGGIO E CASE FAMIGLIA DEL DIPARTIMENTO DI SALUTE MENTALE DELLA ASL DI TERAMO;19920500;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO;CONSORZIO ELIO COOPERATIVA SOCIALE
B8E371CA7F;2025-10-30;AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE PER LE AZIENDE SANITARIE DELLE REGIONI ABRUZZO E MOLISE;19442906;AFFIDAMENTO DIRETTO;;DUSSMANN SERVICE S.R.L.
9962932792;2023-07-21;GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICALI E TECNICI, COMPRESA LA MANUTENZIONE DEGLI IMPIANTI A SERVIZIO DEI PRESIDI DELLE AZIENDE SANITARIE DELLE REGIONI ABRUZZO E MOLISE;15061750;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;GAS MEDICI;
96485760CD;2023-02-17;PROCEDURA APERTA PER L'AFFIDAMENTO DELLA GESTIONE DI UNA R.S.A. SITA IN CASTILENTI (TE);14800968;PROCEDURA APERTA;SERVIZI DI ASSISTENZA SOCIALE;KCS CAREGIVER COOPERATIVA SOCIALE
B46324BFAF;2024-11-22;SERVIZIO DI GESTIONE DI UNA COMUNITÀ TERAPEUTICA DEL DIPARTIMENTO DI SALUTE MENTALE A VILLA TURCHI DI BISENTIA TITOLO;12755650;PROCEDURA APERTA;SERVIZI SANITARI E DI ASSISTENZA SOCIALE;
B84F6C0BE8;2025-09-19;LOTTO 78 ENHERTU*INF 1FL POLV 100;12715916;AFFIDAMENTO DIRETTO;;DAIICHI SANKYO ITALIA SOCIETA' PER AZIONI IN FORMA ABBREVIATA DAIICHI SANKYO ITALIA S.P.A.
9886431CF1;2023-06-26;SERVIZI PER LA GESTIONE DEI CENTRI DIURNI PER UTENTI CON DISTURBI PSICHIATRICI;11113341;PROCEDURA APERTA;SERVIZI DI CENTRI DIURNI;CONSORZIO ELIO COOPERATIVA SOCIALE
9886652354;2023-06-26;SERVIZIO PER LA GESTIONE ATTIVITÀ DI ASSISTENZA TERRITORIALE E DOMICILIARE PSICHIATRICA (A.D.I.P.);10989022;PROCEDURA APERTA;SERVIZI DI CENTRI DIURNI;COOPERATIVA SOCIALE FILADELFIA
9810004F62;2023-05-11;SISTEMA DI CHIRURGIA ROBOTICA PER L'IMPLEMENTAZIONE DI TECNICHE INNOVATIVE DI CHIRURGIA ASSISTITA MININVASIVA E MULTIDISCIPLINARE;10268750;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B8C62A31F7;2025-10-23;FORNITURA BUONI PASTO ASL DI TERAMO;9492600;AFFIDAMENTO DIRETTO;BUONI PASTO;360 WELFARE S.R.L.
A04F311E93;2023-05-26;SERVIZI INTEGRATI DI LAVANOLO A FAVORE DELLE AZIENDE SANITARIE LOCALI DELLA REGIONE ABRUZZO - LOTTO 3;9291058;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI LAVANDERIA E DI LAVAGGIO A SECCO;
B7106FDA03;2025-05-28;KAFTRIO LOTTO 7;9204150;AFFIDAMENTO DIRETTO;MEDICINALI VARI;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
