# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE NAPOLI 1 CENTRO (ANAC)
# 6901 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9675556964;2023-03-02;PROCEDURA APERTA CONGIUNTA TRA ASL NAPOLI 1 CENTRO (CAPOFILA), ASL NAPOLI 2 NORD, ASL NAPOLI 3 SUD E ASL SALERNO PER LA CONCLUSIONE DI UN ACCORDO QUADRO, DI DURATA TRIENNALE CON PIÙ OPERATORI ECONOMICI RELATIVA ALLA FORNITURA IN SERVICE DI DISPOSITIVI MEDICI PER VENTILOTERAPIA CON FORNITURA DI MATER;113221739;PROCEDURA APERTA;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;VITALAIRE ITALIA SPA
B46049DD7E;2024-11-22;APPALTO LAVORI DI RIQUALIFICAZIONE, RESTAURO E RIFUNZIONALIZZAZIONE DEL COMPLESSO MONUMENTALE DI SANTA MARIA DEL POPOLO DEGLI INCURABILI DI NAPOLI;66711421;PROCEDURA APERTA;LAVORI DI RESTAURO;
A021528A46;2023-10-30;PROCEDURA APERTA CONGIUNTA TRA ASL NAPOLI 1 CENTRO (CAPOFILA), ASL NAPOLI 2 NORD, ASL NAPOLI 3 SUD E ASL SALERNO PER LA CONCLUSIONE DI UN ACCORDO QUADRO, DI DURATA TRIENNALE CON PIÙ OPERATORI ECONOMICI RELATIVA ALLA FORNITURA IN SERVICE DI DISPOSITIVI MEDICI PER VENTILOTERAPIA CON FORNITURA DI MATER;36341152;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI PER OSSIGENOTERAPIA E APPARECCHI RESPIRATORI;
A013913C35;2023-10-30;ADESIONE CONVENZIONE SORESA - III APPALTO VACCINI VARI - ALLOGA ITALIA - LOTTO 20;27420000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;ALLOGA (ITALIA) S.R.L.
B9A2400DB4;2025-12-17;SERVIZIO DI RISTORAZIONE A RIDOTTO IMPATTO AMBIENTALE;24099173;PROCEDURA APERTA;SERVIZI DI DISTRIBUZIONE PASTI;
9729869DE4;2023-03-28;SERVIZIO PER L'APPROVVIGIONAMENTO A TUTTI GLI EDIFICI DELLA ASL NAPOLI 1 CENTRO DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI, AI SENSI DELL'ARTICOLO 26, LEGGE 23 DICEMBRE 1999 N. 488 E S.M.I. E DELL'ARTICOLO 58, LEGGE 23 DICEMBRE 2000 N. 388 - EDIZIONE 20 - ID 2513.- ;23821939;CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;
961840708E;2023-02-01;PROCEDURA APERTA PERL L'AFFIDAMENTO DEL SERVIZIO DI DISINFESTAZIONE, DEBLATTIZZAZIONE E DERATTIZZAZIONE DEL TERRITORIO E DELLE STRUTTURE SANITARIE E SOCIOSANITARIE DI COMPETENZA DELL'A.S.L. NAPOLI 1 CENTRO;23628738;PROCEDURA APERTA;SERVIZI DI DISINFEZIONE E DISINFESTAZIONE;D'ORTA S.P.A.
9538485ED1;2023-02-20;FORNITURA DI GAS MEDICINALI LIQUIDI E COMPRESSI COMPRESI I SERVIZI DI GESTIONE E MANUTENZIONE E CONDUZIONE DEGLI IMPIANTI DI STOCCAGGIO;14941715;PROCEDURA APERTA;GAS MEDICI;Operatore individuale (persona fisica)
97074232E1;2023-03-22;LAVORI PER L'ADEGUAMENTO SISMICO DELL'EDIFICIO 'B' DEL P.O. SAN GIOVANNI BOSCO DI NAPOLI - M6.C2 - 1.2. VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE;14320702;PROCEDURA APERTA;LAVORI STRUTTURALI;CONSORZIO NAZIONALE COOPERATIVE DI PRODUZIONE E LAVORO CIRO MENOTTI SOCIETA' COOPERATIVA PER AZIONI
B198B9216E;2024-05-09;FORNITURA BUONI PASTO ED. 10 LOTTO 9 CAMPANIA - II PARTE;12579874;AFFIDAMENTO DIRETTO;BUONI PASTO;EDENRED ITALIA S.R.L.
